이름,레시피재료,레시피,종류,재료,방법,테마,기념일,도구
사과쨈 그래놀라바,"오뚜기 사과쨈 5T, 그래놀라 4컵, 다진 견과류 5T, 오뚜기 쌀올리고당 1T, 오뚜기 냉장 오메가3 버터 1T","수제 그레놀라바로 든든하게 에너지 충전! 포만감은 물론, 다채로운 식감으로 먹는 즐거움까지 좋은 간식이랍니다. 사과쨈의 상큼달콤함이 정말 잘 어울려요. 취향에 따라 다양한 모양으로 만들어보세요!

Step 1 후라이팬에 버터를 녹이고 사과쨈과 올리고당을 넣어 끓인다.

Step 2 거품이 나면 그래놀라와 견과류를 넣어 고루 섞는다.

Step 3 네모난 틀에 종이호일을 깔고 (2)를 눌러 담는다.

Step 4 냉동실에서 30분 이상 굳혀 바 모양으로 잘라 완성한다.",디저트,기타,기타,"브런치, 간식, 도시락, 키즈푸드",,후라이팬
브레드푸딩,"오뚜기 크루통 컵스프 콘크림 2봉, 우유 200ml, 연유 4T, 오뚜기 맛있는계란 2개, 식빵 6장, 냉동베리 50g, 슈가 파우더 1T","집에 남는 식빵이 있다면 활용할 절호의 기회! 재료만 잘 혼합해서 오븐에 넣으면 뚝딱 만들어지는, 하지만 맛은 환상적인 브래드 푸딩입니다. 어린이는 물론 브런치로도, 디저트로도 손색이 없는 요리에요. 오븐이 없다면 전자레인지로도 간편하게 만들 수 있어요.

Step 1 식빵을 4등분한다.

Step 2 컵스프, 우유, 연유, 계란을 넣고 뭉치지 않게 섞는다.

Step 3 식빵을 골고루 적신다.

Step 4 오븐용 그릇에 담아 180도 오븐에서 15분간 굽는다.*오븐이 없다면, 전자레인지에서 달걀이 익을 때까지 돌린다.

Step 5 냉동베리와 슈가 파우더를 뿌려 완성한다.",디저트,"계란, 유제품",기타,"브런치, 간식, 파티, 키즈푸드, 부드러운 식감","생일, 크리스마스","전자레인지, 오븐"
롤케이크,"오뚜기 핫케이크믹스 1/2봉, 오뚜기 프레스코 카놀라유 1T,우유 180ml, 오뚜기 맛있는계란 1개, 생크림 200ml, 오뚜기 달콤한 쵸코 시럽 3T, 오뚜기 달콤한 딸기 시럽 3T, 슈가파우더 1T","핫케이크믹스로 만드는 홈카페 롤케이크 레시피예요. 구운 케이크를 완전히 식혀야 생크림을 올려도 녹지 않아요. 크림을 얹기 전에 쨈을 얇게 펴 발라주면 좀 더 달콤한 롤케이크가 된답니다.

Step 1 핫케이크믹스에 우유와 계란을 섞어 반죽을 만든다.

Step 2 후라이팬에 카놀라유를 두르고 반죽을 2장 굽고 완전히 식힌다.

Step 3 생크림을 휘핑해 반 나눠 쵸코 시럽과 딸기 시럽을 각각 섞는다.

Step 4 완전히 식은 케이크에 한 장씩 쵸코 시럽 크림과 딸기 시럽 크림을 바른다.

Step 5 랩으로 감싸 10분간 냉동실에서 모양을 잡는다.

Step 6 3cm 간격으로 자르고 슈가파우더를 뿌려 완성한다.",디저트,"계란, 유제품",기타,"브런치, 간식, 파티, 키즈셰프, 키즈푸드, 부드러운 식감",생일,후라이팬
딸기 레어치즈케이크,"오뚜기 딸기쨈 200g, 크림치즈 200g, 통밀쿠키 10개, 생크림 150ml, 플레인요거트 80g, 설탕 2T, 레몬즙 1t, 젤라틴 6장, 오뚜기 냉장 오메가3 버터 2T","크림치즈와 통밀쿠키 사이에 샌딩되어있는 딸기잼이 알록달록 보기에도 좋고, 맛도 좋은 케이크예요. 딸기나 라즈베리를 위에 토핑으로 올려주면 더욱 좋답니다. 즐거운 파티나 특별한 날에 정성 가득 담아 만든 치즈케이크를 준비해보는 것은 어떨까요?

Step 1 버터를 전자레인지에 1분간 돌려 녹인다.

Step 2 통밀쿠키는 곱게 부셔 버터와 섞고 틀에 담아 냉장고에서 10분간 굳힌다.

Step 3 젤라틴은 찬물에 10분 불린다.

Step 4 젤라틴 3장을 전자레인지에 10초간 녹여 딸기쨈과 섞는다.

Step 5 4를 통밀쿠키 시트위로 평평하게 발라 냉동고에서 10분간 굳힌다.

Step 6 크림치즈, 요거트, 설탕, 레몬즙을 섞는다.

Step 7 나머지 젤라틴 3장을 전자레인지에 10초간 돌려 크림치즈와 섞는다.

Step 8 딸기쨈 위로 크림치즈를 올려 냉장고에 1시간 굳혀 완성한다.",디저트,유제품,기타,"간식, 파티, 키즈푸드, 부드러운 식감",,전자레인지
더치베이비 팬케이크,"오뚜기 넛츠 핫케이크믹스 200g, 오뚜기 맛있는계란 3개, 우유 200ml, 오뚜기 냉장 1/2 하프버터린 2T, 사과 1개, 오뚜기 사과쨈 2T, 시나몬가루 1/2T, 황설탕 30g, 슈가파우더 1T","더치베이비는 독일식 팬케이크로, 가운데가 움푹 파인 모양이 특징인 오븐에 구운 팬케이크예요. 신선한 사과와 오뚜기 사과쨈을 넣어 만든 시나몬애플 소스를 얹어 드셔보세요. 취향에 따라 생크림을 올려도 좋아요. 커피 한 잔과 함께하면 한 입 한 입이 행복한 브런치가 된답니다.

Step 1 핫케이크가루, 우유, 계란을 섞어 반죽을 만들고 냉장고에 30분 휴지한다.

Step 2 사과를 얇게 편 썬다.

Step 3 냄비에 사과, 사과쨈, 황설탕, 시나몬 가루를 넣고 중약불로 카라멜색이 날 때까지 타지않게 주의하며 졸인다. (레몬즙을 넣으면 더욱 깔끔한 단맛이 난다)

Step 4 오븐용 팬에 버터를 녹이고, 차가운 1의 반죽을 붓는다.

Step 5 200도로 예열된 오븐에 15분 굽는다.

Step 6 3을 반죽에 올리고 슈가파우더를 뿌려 완성한다.",디저트,"계란, 유제품",기타,"브런치, 파티, 키즈푸드, 부드러운 식감",생일,오븐
녹차핫케이크와 딸기콩피,"오뚜기 핫케이크믹스 200g, 녹차가루 1T, 오뚜기 맛있는 계란 1개, 물 30ml, 우유 100ml, 오뚜기 프레스코 포도씨유 1/2T  [딸기콩피]: 딸기50g, 오뚜기 올리고당3T, 견과류(땅콩,아몬드,호두 등) 1T, 오뚜기 올리고당 1T","오뚜기 핫케이크 믹스에 녹차의 풍미가 더해지고, 달콤한 딸기가 부드럽게 감싸져서 한층 더 업그레이드 된 맛을 느낄 수 있는 레시피예요. 견과류의 고소함과 영양까지 더해져서 간식은 물론 브런치 한끼로도 좋아요.

Step 1 핫케이크믹스에 녹차가루, 우유, 계란을 넣어 반죽한다.

Step 2 딸기와 올리고당 3T을 끓여 딸기콩피를 만든다.

Step 3 견과류는 적당한 크기로 썰어 올리고당 1T을 물과 살짝 조린다.

Step 4 후라이팬에 포도씨유 두르고 핫케이크 반죽을 지름 10cm로 얇게 굽는다.

Step 5 접시에 구운 핫케이크와 딸기콩피, 견과류 조린 것을 올려 완성한다.",디저트,"계란, 유제품",기타,"브런치, 간식, 파티, 키즈푸드",,후라이팬
표고버섯양파토스트,"레드와인발사믹드레싱3T(45g), 순후추1t, 오메가3 버터2T(20g), 식빵4장(200g), 양파1개(200g), 슬라이스 치즈4장(80g), 표고버섯2개","때로는 고기 없이 가볍지만 든든한 간식이 필요한 때가 있습니다. 냉장고에 조금씩 남아있는 채소들을 맛있게 볶아 빵에 곁들여보세요. 버섯과 양파를 볶아 약간의 감칠맛을 더 하면 가벼우면서도 충분히 맛있는 샌드위치를 만들 수 있습니다.

Step 1 표고버섯과 양파는 슬라이스하여 준비한다.

Step 2 달군 후라이팬에 버터(1T)를 녹이고 양파를 볶다가 표고버섯을 더해 볶는다.

Step 3 양파가 투명해지고 버섯의 숨이 죽으면 레드와인 발사믹드레싱과 후추를 더해 볶는다.

Step 4 식빵에 슬라이스치즈(1장)를 올린 후 볶은 양파와 버섯을 담고 슬라이스치즈(1장)와 식빵으로 덮는다.

Step 5 후라이팬에 버터(1T)를 녹여 샌드한 식빵 양면을 굽는다.

Step 6 토스트의 겉면이 바삭하고 노릇하게 익으면 먹기 좋게 잘라 완성한다.","분식, 기타",채소,"구이, 기타","스피드, 브런치, 냉장고털이, 야식, 간식, 도시락, 채식, 다이어트요린이를 위하여",,후라이팬
무떡볶이,"요리올리고당2T(20g), 무1/4개(300g), 쫄깃한 쌀떡볶이떡1봉(450g), 대파1대(70g), 설탕3T(40g), 소금2t(4g), 고춧가루6T(40g), 어묵3장(100g), 이금기 시즈닝 맛간장2T(20g), 양파1/2개(100g), 고소한 참기름2T, 물1/2컵(120ml)","무의 시원한 감칠맛을 한껏 더한 떡볶이입니다. 매콤달콤한 양념을 가득 머금은 무와 쫄깃한 떡을 번갈아 먹다 보면 어느새 빈 그릇만 남을 거에요.

Step 1 무는 3cmX8cm로 길게 썰어 요리올리고당에 절인다.

Step 2 대파는 어슷 썰고 어묵과 양파는 무와 같은 크기로 자른다.

Step 3 설탕과 고춧가루, 소금을 섞은 후 절인 무에서 나온 물과 맛간장을 섞는다.

Step 4 깊은 팬에 카놀라유를 두르고 무를 볶아준다.

Step 5 볶아준 무에 가래떡과 양념장, 물, 손질한 채소들을 더해 끓인다.

Step 6 떡이 다 익고 양념이 잘 어우러지면 그릇에 담아 완성한다.",분식,"채소, 기타","볶음, 조림","간식, 키즈푸드, 채식",생일,후라이팬
미니 떡갈비 버거,"오즈키친 떡갈비2개, 슬라이스치즈2장(20gX2), 햄버거빵2개(60gX2), 양파1/5개(40g), 양배추50g, 골드마요네스1T(15g), 계란2개(60gX2), 토마토케챂3T(45g), 오이1/8개(20g), 프레스코 카놀라유1T(15g)","양배추샐러드가 포함된 시장 스타일의 떡갈비 버거

Step 1 떡갈비는 에어프라이어 170도에 5분간 조리하고 떡갈비 위에 슬라이스 치즈를 올려 다시 한 번 더 170도에 5분간 조리한다.

Step 2 양배추와 양파, 오이는 얇게 채 썬 후 마요네스와 케챂을 더해 버무린다. * 케요네스 또는 1000아일랜드드레싱을 사용하면 더욱 간편합니다!

Step 3 달군 후라이팬에 카놀라유를 두르고 계란 후라이를 만든다.

Step 4 햄버거 빵은 후라이팬에 살짝 데워 준비한다.

Step 5 빵 위로 조리된 치즈 떡갈비와 양배추샐러드, 계란을 쌓아 완성한다.","분식, 기타",돼지고기,기타,"간식, 도시락, 부드러운 식감",,후라이팬
야끼소바빵,"철판뽀끼1개, 당근1/4, (50g), 오뚜기 식용유1T(10g), 고추1개(10g), 핫도그 번(또는 모닝빵4개)2개, 마요네즈2T, (20g), 베이컨1줄(20g), 초생강약간","일본식 볶음면을 그대로 재현한 철판뽀끼로 손쉽게 즐길 수 있는 이색요리에요._x000D_ 빵과 볶음면의 중독성 깊은 조합은 든든한 한끼 식사로, 간편한 간식으로도 제격이에요._x000D_ 일본을 대표하는 국민 간식, 야끼소바빵과 함께 맛으로 일본 여행 떠나봐요!_x000D_

Step 1 고추는 송송 썰고 당근은 채 썬다. 베이컨은 먹기 좋은 크기로 자른다.

Step 2 팬에 식용유를 두르고 고추를 볶다가 당근과 베이컨을 볶는다.

Step 3 채소와 베이컨이 익어가는 동안 용기에 면과 건더기 스프를 넣고 뜨거운 물을 부어 3분간 익힌다.

Step 4 익힌 면과 액상스프를 볶은 재료가 담긴 팬에 넣고 소스가 베어들 때까지 함께 볶는다.

Step 5 불을 끈 뒤 유성스프를 넣고 잘 섞어준 뒤 면을 가위로 한 번 자른다.

Step 6 준비된 핫도그 번을 반으로 갈라 단면에 마요네즈를 바른 뒤 면을 넣어 완성한다. Tip. 초생강을 살짝 얹으면 더욱 풍부한 야끼소바맛을 즐길 수 있어요!",분식,기타,볶음,"스피드, 간식, 간단 꿀조합",,후라이팬
케챂곤약국물떡볶이,"1/2하프케챂45g, 오뚜기 순후추약간, 굴소스1t(5g), 고추장1T, (20g), 곤약200g, 양배추1장(40g), 어묵1장(40g), 대파1/3대(40g), 양파1/6개(35g), 오뚜기 다시마식초1t(5g), 다진 마늘1t(3g), 물300ml","Step 1 곤약은 떡 모양으로 잘라 끓는 물에 다시마식초를 넣고 5분간 데친다.

Step 2 양파와 대파는 굵게 채 썰고 어묵과 양배추는 먹기 좋은 크기로 등분한다.

Step 3 냄비에 물을 담고 고추장, ½하프케챂, 굴소스를 풀어준 후 곤약, 어묵을 더해 끓인다.

Step 4 양파와 대파, 양배추를 더해 5분간 걸쭉하게 끓여 완성한다.",분식,기타,볶음,야식,,냄비
주꾸미 떡볶이,"오뚜기 오쉐프 우리쌀 떡볶이떡 150g, 어묵 1장, 대파 1/2대, 주꾸미 5마리, 오뚜기 프레스코 카놀라유 1T, 슈레드 모짜렐라치즈, 오뚜기 떡볶이 소스 60g, 물 120ml","국민 간식 떡볶이를 즐기는 방법 한가지!_x000D_ 떡볶이 양념에 쫄깃 탱글한 주꾸미를 추가하여 맛있게 볶아주세요._x000D_ 입맛을 당기는 매콤함에 감칠맛이 더해져 훌륭한 요리가 됩니다.

Step 1 대파를 굵게 채 썰고 어묵은 한 입 크기로 자른다.

Step 2 후라이팬에 카놀라유를 두르고 대파를 볶다가 색이 나면 주꾸미를 더해 빠르게 볶는다.

Step 3 떡볶이 소스와 떡, 물을 넣고 5분간 끓여 완성한다. Tip. 모짜렐라치즈를 더해 치즈 주꾸미떡볶이를 만들어도 좋아요.",분식,,,"야식, 간식, 캠핑, 파티, 1인분",,
닭고기 케밥,"닭가슴살 1덩어리 (150g), 피망 1개, 양상추 3장, 슬라이스 치즈 1장, 오뚜기 고소한 쌀 또띠아 2장, 오뚜기 허니머스타드소스 2T, 오뚜기 골드 마요네스 1T, 오뚜기 미향 1/2T, 소금 1/2t, 후추 1/2t, 차지키소스 : 요거트 150ml, 오이 ½개 다진 것, 레몬즙 1t, 올리브오일 3t, 소금 1/2t, 후추 1/3t, 바질가루 1t, 다진마늘 1t (기호에 따라 오뚜기 스위트칠리소스 또는 타바스코 스리라차를 더해도 좋다.)","케밥은 터키의 전통 요리로 작게 썬 고기를 구워 먹는 요리입니다. 양고기, 쇠고기, 닭고기 등 육류를 주재료로 활용하며 채소를 곁들여 조리하는데 그 종류가 수십 가지가 될 만큼 다양합니다. 이번 케밥 레시피는 한끼 식사로도 충분하도록 또띠아로 완성했어요.

Step 1 양상추는 깨끗이 손질해 물기를 빼고 피망은 굵게 채 썬다.

Step 2 닭가슴살은 소금과 후추, 미향으로 간하고 에어프라이어 160도에 15분간 익히고 뒤집어 15분간 더 구운 후 얇게 썬다.

Step 3 또띠아를 후라이팬에 살짝 굽고 허니머스타드소스와 마요네스 또는 차지키소스를 바른다.

Step 4 소스바른 또띠아 위로 양상추와 피망, 닭고기 치즈를 올리고 돌돌말아 완성한다.",분식,닭고기,,"야식, 간식, 캠핑, 도시락, 파티, 키즈푸드",,
만두 그라탕,"XO 굴림만두 350g6개(1/2봉), 프레스코 토마토소스1/2컵(80g), 스위트콘3T, 슈레드 모짜렐라 치즈1봉, 계란 1개 , 체다치즈 1장","요리 초보가 만들어도 맛있는 요리!_x000D_ 전자레인지로 뚝딱! 어린이와 함께 만들어도 좋고, 파티 음식으로도 좋아요._x000D_ 냉장고에 있는 재료들을 마음껏 추가해서 완성해보세요!

Step 1 그라탕 용기에 만두를 넣고 랩을 씌워 전자레인지에 2분간 돌려준다.

Step 2 살짝 익은 만두는 가위로 잘게 잘라 준비한다.

Step 3 만두 위에 토마토 소스와 스위트콘을 골고루 얹어준다.

Step 4 계란을 올려주고, 노른자는 살짝 터트려 준다.Tip 계란 노른자는 전자렌지에 들어가면 터질 수 있으니 미리 터트려주세요.

Step 5 모짜렐라 치즈와 체다 치즈를 올려준다.

Step 6 전자레인지에서 4분간 돌려준다.

Step 7 파슬리 가루를 뿌려 완성한다.","분식, 기타","돼지고기, 계란, 유제품",기타,"브런치, 간식, 파티, 키즈푸드, 부드러운 식감, 셰프의 팁! 간편식 업그레이드, 간단 꿀조합",,전자레인지
누룽지피자,"옛날 구수한 누룽지 (60g)1봉, 프레스코 토마토 스파게티소스2큰술, 고구마 말랭이5조각, 빨간 파프리카1/3개, 노란 파프리카1/3개, 슈레드치즈 모짜렐라60g","바삭한 식감과 구수한 맛이 매력적인 누룽지 피자에요._x000D_ 도우 반죽도, 오븐도 필요 없는 초간단 피자랍니다~_x000D_ 좋아하는 재료를 마음껏 올려서 더 맛있는 누룽지 피자를 완성해보세요!

Step 1 파프리카는 가운데 씨를 제거하고 동그란 형태를 살려서 잘라준다.

Step 2 달궈진 팬에 식용유를 두른 후 누룽지를 튀기듯이 구워준다.

Step 3 누룽지 위에 피자치즈를 뿌려 약불에 살짝 녹여준다.Tip. 뚜껑을 덮은 후 가열하면 치즈가 더 빨리 녹아요.

Step 4 골고루 녹은 치즈 위에 토마토스파게티 소스를 골고루 넓게 펴 발라준다.

Step 5 썰어둔 파프리카와 고구마 말랭이를 올려준다.Tip. 삶은 고구마를 사용해도 좋고 채소나 햄, 감자 등을 추가해도 좋아요.

Step 6 마지막으로 피자치즈를 한번 더 뿌려 전자레인지에 2분간 돌려준다.","분식, 기타","채소, 기타","구이, 기타","간식, 파티, 키즈셰프","생일, 크리스마스",후라이팬
카레 채소 튀김,"연와사비1/2t, 애호박1/2개, 튀김가루250g, 당근1/3개, 양파2/3개, 물400ml, 감자1개, 식용유충분량, 간장4T, 화이트식초1T, 오리지널카레파우더1/2t, 계란1개","냉장고에 있는 자투리 채소를 맛있게 해결할 수 있는 채소 튀김을 소개합니다._x000D_ 카레 파우더를 곁들여 맛과 향을 더욱 업그레이드하였습니다._x000D_ 제철 채소를 활용하거나 명절 직후에도 좋겠지요?

Step 1 양파, 감자, 애호박, 당근은 0.5cm로 채 썬다. Tip. 깻잎을 더해도 좋아요.

Step 2 튀김가루에 물과 계란을 넣고 반죽을 만든 후 손질한 야채들을 넣고 버무린다.

Step 3 유탕팬에 기름을 올리고 170도가 되면, 반죽을 조금씩 떼어서 1차로 3분간 튀긴다.

Step 4 튀김은 식힘 망에서 기름을 뺀 후 2차로 1분간 튀긴 후 기름을 뺀다.

Step 5 간장과 식초, 연와사비를 섞어 간장소스를 만들어 야채튀김과 함께 완성한다.",분식,채소,튀김,"간식, 채식","명절, 생일",후라이팬
오꼬노미야끼,"부침가루 1/2컵, 부드럽고촉촉한 동그랑땡7~10개, 양송이 스테이크 소스적당량, 골드 마요네스적당량, 계란 2개, 숙주 1줌, 양배추 50g, 식용유적당량","오꼬노미야끼는 일본식 부침 요리입니다._x000D_ 노릇하게 구워낸 오꼬노미야끼 위로 소스를 슥 바르고 마요네스로 데코레이션 해주면 맛도 비주얼 최고에요!_x000D_

Step 1 양배추는 1cm 두께로 먹기 좋게 썰어준다.

Step 2 분량의 동그랑땡과 채 썬 양배추, 숙주를 큰 볼에 담아준다.

Step 3 계란 하나를 깨고 분량의 부침가루를 볼에 함께 담아준다.

Step 4 한데 모은 재료들을 조물조물 섞어준다.

Step 5 달궈진 팬에 식용유를 두르고 반죽을 올려준다.

Step 6 앞 뒤로 노릇하게 잘 부쳐진 오꼬노미야끼 위에 양송이 스테이크 소스를 발라준다.

Step 7 집에 있는 위생봉투에 마요네스를 담고 끝 부분을 살짝 오려준다.

Step 8 오꼬노미야끼 위에 뿌려주면 완성",분식,"돼지고기, 계란",구이,"야식, 파티, 셰프의 팁! 간편식 업그레이드",,후라이팬
돈까스 김치나베 라면,"오뚜기 열라면1개, 대파10cm, 오뚜기 등심돈까스2쪽, 오뚜기 식용유 적당량, 김치2T, 계란1알, 양파1/2개","어떤 요리에 들어가도 조화롭게 균형을 잡아 맛을 이끌어주는 돈까스와 김치가 열라면과 만났어요. 시원한 김치 맛과 기름에 튀겨낸 돈까스, 거기에 얼큰함을 간직한 열라면! 한 끼 식사로도, 술 안주로도 제격이에요. 직장인 점심메뉴 1위, 돈까스 김치나베를 SNS 핫 아이템 열라면과 함께 화끈하게 즐겨보아요.

Step 1 양파는 채 썰기, 대파는 어슷 썰기, 김치는 먹기 좋게 한입 크기로 썰어 준비한다.

Step 2 물 500ml에 라면 스프를 넣고 양파와 함께 끓인다.

Step 3 팬에 식용유를 적당히 붓고 180도 정도로 가열한 뒤 돈까스를 약 5분 간 튀긴다.

Step 4 국물이 끓기 시작하면 면을 넣고 2분간 익힌 뒤 돈까스와 김치를 얹어 면이 다 익을 때 까지 끓인다.

Step 5 계란을 풀어 국물에 빙 둘러 부어주고 불을 끈 뒤 뚜껑을 덮고 잠시 놔둔다.

Step 6 뚜껑을 열고 대파를 뿌려 살짝 익힌 뒤 그릇에 담아 마무리한다.",분식,"돼지고기, 채소, 계란, 기타",국탕찌개,"1인분, 해장",,"후라이팬, 냄비"
라면땅 미니핫도그,"오뚜기 스낵면1개, 오뚜기 프레스코 카놀라유적당량, 오뚜기 핫케이크 믹스2컵, 계란1개, 비엔나 소시지5개, 우유1/2컵, 오뚜기 케챂적당량, 설탕적당량, 오뚜기 머스타드적당량, 타바스코 소스적당량","어른들에게는 추억을, 아이들에게는 새로운 맛과 식감을 보여줄 라면땅 핫도그에요. _x000D_ 스낵면의 얇은 면발을 활용하여 바삭함을 살렸어요. _x000D_ 오늘 우리 가족 간식으로 라면땅 핫도그 어떠세요?

Step 1 스낵면 면을 비닐봉지에 넣고 잘게 부순다.

Step 2 소시지는 끓는 물에 살짝 데친다.

Step 3 핫케이크 가루에 계란과 우유를 넣어 반죽을 만든다.

Step 4 소시지에 핫케이크 반죽을 골고루 묻힌 뒤에 부수어 놓은 라면에 굴려준다.

Step 5 달구어진 식용유에 라면 색이 노릇노릇해질 때까지 튀겨준다.

Step 6 막대나 꼬치를 꽂은 뒤 스낵면 스프와 설탕을 뿌린다.

Step 7 기호에 맞게 케챂, 머스타드, 타바스코 소스를 살짝 뿌려 먹는다.",분식,,기타,"간식, 키즈셰프, 키즈푸드, 셰프의 팁! 간편식 업그레이드",,후라이팬
짜장곤약떡볶이,"곤약80g, 가뿐한끼 짜장1개(130g), 표고버섯20g, 양파20g, 청피망10g, 닭가슴살50g, 식용유5g","가볍게 즐길 수 있는 분식메뉴 짜장곤약떡볶이 레시피를 소개해드릴게요. _x000D_ 곤약과 닭가슴살, 야채로 식감은 다양하게 가뿐한끼 짜장으로 더욱 맛있게!_x000D_ 오늘 가볍게 짜장곤약떡볶이 어떠세요?

Step 1 닭가슴살과 양파, 표고버섯은 잘게 썰고, 청피망은 채 썬다.

Step 2 곤약은 떡볶이 크기로 얇게 잘라 준다.

Step 3 예열된 팬에 식용유를 두르고 닭가슴살이 익을 때까지 볶아 준다.

Step 4 (3)에 나머지 재료들을 넣고 잘 섞이도록 볶아 준다.

Step 5 (4)에 가뿐한끼(짜장)을 넣고 잘 섞이도록 볶아 주면 된다.",분식,닭고기,볶음,"야식, 간식, 파티, 1인분",,후라이팬
크림 카레 우동,"3분 백세카레1봉, 오뚜기 생면1봉(200g), 생크림150ml, 마늘10g, 양파20g","Step 1 양파, 마늘은 슬라이스하고, 생크림을 휘핑한다.

Step 2 팬에 기름을 두르고 양파, 마늘을 볶다가 3분 백세카레를 넣고 같이 끓인다.

Step 3 오뚜기 생면을 삶아 물에 헹군 후, 그릇에 담는다.

Step 4 생면 위에 카레소스를 넣고, 생크림을 올려 완성한다.",분식,기타,볶음,"스피드, 1인분",,후라이팬
라조기름떡볶이,"오뚜기 냉장 우리쌀떡볶이떡1개[450g], 오뚜기 식용유(콩기름)2T, 다진 땅콩2T, 오뚜기 고소한참기름1T, 라조장 산초4T, 오뚜기 옛날 볶음참깨1T, 오뚜기 올리고당2T","만능소스 라조장과 함께라면! 한국인의 소울푸드 떡볶이가 이렇게 또 새로워집니다! 좀 더 얼얼한 맛을 내고 싶을 때는 '라조장 산초'를, 매콤하지만 달큰한 감칠맛을 내고 싶을 때는 '라조장 양파'로 골라먹는 재미도 누려보세요.

Step 1 떡볶이 떡을 끓는 물에 2분간 데친다.

Step 2 라조장과 올리고당, 다진 땅콩, 깨를 섞어 소스를 만든다.

Step 3 데친 떡에 소스를 버무려 재운다.

Step 4 후라이팬에 콩기름을 두르고 재운 떡과 소스를 넣어 약불에 튀기듯 굽는다.

Step 5 겉이 노릇해지면 참기름을 둘러 완성한다.",분식,기타,볶음,"야식, 간식",,후라이팬
뉴욕핫도그,"오뚜기 토마토케챂4T, 오뚜기 허니머스타드소스4T, 핫도그 소시지4개, 양상추8장, 다진 양파4T, 오뚜기 오이피클4T, 핫도그 빵4개","아메리칸 스타일의 핫도그 레시피예요. 살짝 구운 핫도그 빵에 각종 재료를 취향껏 올린 후 오뚜기 케챂과 허니머스터드소스로 마무리! 색다른 맛을 즐기고 싶다면, 오뚜기 카레케챂이나 할라피뇨케챂을 뿌려보세요. 튀긴 양파칩을 뿌려 먹어도 맛있답니다.

Step 1 후라이팬에 핫도그 빵을 살짝 굽는다.

Step 2 핫도그 소시지에 칼집을 내고 후라이팬에 노릇해질 때까지 굽는다.

Step 3 핫도그 빵에 양상추를 깔고 소시지를 넣는다.

Step 4 소시지의 양쪽에 다진 양파와 다진 피클을 각각 넣는다.

Step 5 케챂과 머스타드소스를 뿌려 완성한다.",분식,"돼지고기, 채소",기타,"스피드, 브런치, 야식, 간식, 도시락, 1인분, 키즈푸드",,후라이팬
찹쌀 카레고로케,"오뚜기 찹쌀호떡믹스1개, 오뚜기 백세카레 순한맛(분말)2큰술, 오뚜기 옛날 사리당면100g, 오뚜기 프레스코 카놀라유적당량, 양파1/4개, 양배추30g, 당근10g, 애호박15g","간식으로 제격인 고로케 레시피를 소개해드릴게요. 집에 남는 카레를 활용해서 향긋함을 추가하고, 원하는 야채를 쏙쏙 넣어 편식하는 아이도 맛있게 먹일 수 있답니다. 집에서 직접 만들 수 있으니 맛도 재료도 안심이에요!

Step 1 끓는 물에 당면을 넣고 6분 간 삶은 뒤 찬물에 헹궈 물기를 빼고 가위로 잘게 자른다.

Step 2 양파, 당근, 애호박, 양배추는 다지듯 썬다.

Step 3 볼에 물과 이스트를 넣고 잘 풀어준 뒤 찹쌀호떡믹스를 넣고 반죽한다.

Step 4 삶은 당면과 잘게 썬 채소, 카레가루를 넣어 고루 섞는다.

Step 5 손에 기름을 살짝 바른 후 반죽을 적당한 크기로 떼어내 넓게 펴고 가운데에 1의 소를넣고 터지지 않게 잘 오므려준다.

Step 6 예열된 후라이팬에 기름을 두르고 오므려진 부분을 아래로 향하게 하여 약한 불로 굽다가 밑부분이 노릇해지면 뒤집어서 뒤집개로 눌러 구워준다.",분식,채소,기타,"간식, 키즈셰프, 키즈푸드, 셰프의 팁! 간편식 업그레이드",카레데이,후라이팬
카레 부어스트,"소시지2개, 오뚜기 프레스코 압착올리브유1T, 감자튀김90g, 하드롤 바게트1개, 파슬리가루2t, 3일숙성카레 약간 매운맛 고형1조각, 다진 양파2T, 다진 마늘1T, 물75ml, 오뚜기 카레케챂적당량","카레부어스트는 독일 요리 중 하나로, 구운 소시지 위에 케챂과 카레파우더를 뿌려먹는 음식에요. 우리나라의 떡볶이처럼 독일국민 모두가 즐기는 소울푸드랍니다. 이 레시피는 독일식 정통 스타일이기보다는 한국인의 입맛에 맞게 변형한 레시피예요. 짭짤한 소시지와 부드러운 카레가 잘 어울려요. 바게트나 감자튀김을 곁들여도 좋지요. 커리부어스트에 시원한 맥주 한 잔 마시며 하루를 마무리 해보시는 건 어떨까요?

Step 1 전자레인지 용기에 카레, 양파, 마늘, 케챂, 물을 모두 넣고 1분간 조리 후, 용기를 꺼내서 잘 섞어 1분간 추가로 조리한다. (700W 기준)

Step 2 소시지는 칼집을 낸 후 끓는 물에 살짝 데쳐 준비한다.

Step 3 후라이팬에 올리브유를 두르고 데친 소시지의 겉이 노릇해질 때까지 굽는다.

Step 4 접시에 소시지를 담고, 1의 소스에 파슬리가루를 적당히 올려 완성한다

Step 5 바게트, 감자튀김 등을 곁들여 완성한다.",분식,돼지고기,구이,"스피드, 야식, 간식, 캠핑, 파티, 키즈푸드",카레데이,후라이팬
